Comentário,Avaliação,Data
Good health insurance and days in lieu,"4,0",30 de jun. de 2025
"No sick days, don't recognize enough paid holidays","3,0",7 de mar. de 2024
"Nada a reclamar, VR e VA altos","5,0",24 de set. de 2025
Unimed válido no Brasil todo,"5,0",23 de set. de 2025
"Plano de saúde, dental, vida, VR, VT entre outros","5,0",2 de set. de 2025
Bom plano de saúde e vale alimentação,"5,0",22 de ago. de 2025
"Plano de saude unimed, sem mensalidade. Previdência privada. Bons valores de VA e VR.","5,0",7 de ago. de 2025
PPR com valor muito bom,"4,0",21 de jul. de 2025
Ótima empresa para se trabalhar....,"5,0",1 de jul. de 2025
"Plano de Saúde, previdência privada, vale refeição, vale alimentação, auxílio creche, kit de material escolar para of filhos, plano odontológico, auxílio home office","4,0",21 de jun. de 2025
Bom pacote de benefícios oferecidos,"5,0",15 de abr. de 2025
Plano Unimed com coparticipação Plano dental uni Plr Treinamentos,"4,0",7 de nov. de 2024
