Comentário,Avaliação,Data
Plano de saúde é muito bom. PPR,"5,0",15 de set. de 2025
Bom convenio médico e odontológico e gympass.,"4,0",4 de set. de 2025
Possui bom plano de saúde e odontológico. Refeição no restaurante da empresa. Porém o Vale-Alimentação é baixo,"4,0",16 de ago. de 2025
"Bons beneficios, competitivos, PPR, seguro de vida","4,0",21 de jul. de 2025
Os benefícios compensam o baixo salário em relação a outras industrias,"4,0",15 de jul. de 2025
"Plano de saúde unimed, fretado de qualidade inclusive nas cidades vizinhas e participação dos resultados.","4,0",3 de jul. de 2025
"Pacote abrangente com benefícios comuns no mercado e adicionais importantes, como programas de desenvolvimento.","5,0",2 de jul. de 2025
"Todos são ótimos. Plr, plano de saúde","4,0",24 de jun. de 2025
"Ticket baixo, só é alto pra quem é Brigadista","3,0",27 de mai. de 2025
Os benefícios são compatíveis com a indústria local. PPR ruim.,"4,0",22 de mai. de 2025
