Comentário,Avaliação,Data
"muito boa, beneficios de acordo com mercado.","5,0",24 de ago. de 2025
"Ônibus fretado, plano de saúde","4,0",11 de jul. de 2025
O plano de saúde é Unimax. Contempla os melhores hospitais de Porto Alegre.,"5,0",14 de mar. de 2025
Ótima empresa Ótima localização Ótimo salário,"5,0",7 de fev. de 2025
Todos os benefícios são bom,"5,0",13 de jan. de 2025
"Plano de saúde regional, plano odonto, seguro de vida, auxílio creche, cartão farmácia, Alelo e restaurante na empresa.","3,0",31 de out. de 2024
"Boa empresa, quadro de pessoas reduzido","4,0",7 de out. de 2024
Bastante completo. Porém o auxílio creche é apenas no primero ano da criança e o plano de saúde tem uma coparticipação alta .,"5,0",25 de set. de 2024
Comida boa Ma comunicaça Salário cai dia 30,"1,0",18 de jul. de 2024
Otimo empresa que valoriza o funcionario,"5,0",16 de jul. de 2024
