Comentário,Avaliação,Data
"Excelente pacote de benefícios, previdência com aporte da empresa, VA, AM, AO, PPR.","5,0",23 de set. de 2025
"Para estagiário, as maiores desvantagens eram não possuir plano de saúde e vale alimentação, que só é oferecido para funcionários registrados. Mas a bolsa (salário) recebida com relação a carga horária, era boa para um estágio.","3,0",18 de set. de 2025
Bons benefícios de remuneração variável e plano de saúde,"5,0",26 de ago. de 2025
Mensalidade acessível do plano de saúde Plano de saúde nacional Ticket flex,"5,0",3 de nov. de 2024
Pacote de benefícios atrativos!!! Temos restaurante próprio com refeições de primeira qualidade.,"5,0",20 de set. de 2024
Benefícios muito bons. Especialmente o plano de previdência privada,"5,0",25 de ago. de 2024
Benefícios em linha ao mercado,"5,0",29 de jul. de 2024
Melhora vida do colaborador Salário bom Plano de carreira,"5,0",3 de jul. de 2024
Benefícios bons em si para estágio.,"3,0",1 de jul. de 2024
Muito feliz pelo pacote conquistado.,"5,0",17 de jun. de 2024
