Comentário,Avaliação,Data
Vantagem: Previdência privada e PLR Desvantagem: Licenças paternidade e maternidade (Não adotou a empresa cidadã),"4,0",19 de set. de 2025
A única vantagem é os benefícios,"4,0",15 de set. de 2025
"Top demais essa empresa, Longe da cidade","5,0",29 de ago. de 2025
Salário acima da média Convenio medico ok Refeição no local poderia ser melhor,"3,0",16 de jul. de 2025
Os benefícios são condizentes com o mercado,"4,0",18 de jun. de 2025
Ótimos benefícios. Oferece um Plano de Saúde sem mensalidades.,"4,0",20 de mai. de 2025
Plano de saúde e odontológico são bons.. Convênio farmácia em descontado em folha,"4,0",14 de mai. de 2025
Precisa trabalhar mais PDI das pessoas,"2,0",27 de jan. de 2025
Plano de saúde sem mensalidade.,"3,0",2 de out. de 2024
Bons salário e otimos benefícios liderança despreparada,"5,0",8 de ago. de 2024
