Título,Salário
Coordenador,R$ 10 mil - R$ 13 mil /mês
Assistente Administrativo,R$ 2 mil - R$ 3 mil /mês
Supervisor,R$ 5 mil - R$ 7 mil /mês
Analista Pleno,R$ 4 mil - R$ 6 mil /mês
Analista,R$ 3 mil - R$ 4 mil /mês
Operador De Produção,R$ 2 mil - R$ 2 mil /mês
Especialista,R$ 8 mil - R$ 13 mil /mês
Operador,R$ 2 mil - R$ 2 mil /mês
Analista Júnior,R$ 2 mil - R$ 3 mil /mês
Analista De Marketing,R$ 3 mil - R$ 6 mil /mês
Estagiário,R$ 1 mil - R$ 2 mil /mês
Auxiliar Administrativo,R$ 2 mil - R$ 2 mil /mês
Monitor De Produção,R$ 5 mil - R$ 6 mil /mês
Estagiário,R$ 1 mil - R$ 1 mil /mês
Técnico De Manutenção Elétrica,R$ 4 mil - R$ 6 mil /mês
Analista Financeiro,R$ 3 mil - R$ 5 mil /mês
Supervisor/Coordenador,R$ 5 mil - R$ 11 mil /mês
Aprendiz,R$ 1 mil - R$ 1 mil /mês
Analista Administrativo Júnior,R$ 3 mil - R$ 7 mil /mês
Comprador Pleno,R$ 4 mil - R$ 5 mil /mês
Operador De Produção II,R$ 2 mil - R$ 5 mil /mês
Comprador Júnior,R$ 4 mil - R$ 4 mil /mês
Líder De Equipe,R$ 2 mil - R$ 5 mil /mês
Engenheiro De Processos,R$ 10 mil - R$ 13 mil /mês
Coordenador Florestal,R$ 9 mil - R$ 10 mil /mês
Líder De Produção,R$ 3 mil - R$ 5 mil /mês
Operador De Empilhadeira,R$ 2 mil - R$ 3 mil /mês
Coordenador De Produção,R$ 7 mil - R$ 12 mil /mês
Técnico Mecânico,R$ 4 mil - R$ 7 mil /mês
Auxiliar Florestal,R$ 2 mil - R$ 2 mil /mês
Operador De Máquinas,R$ 2 mil - R$ 13 mil /mês
Estagiário Superior,R$ 1 mil - R$ 2 mil /mês
Analista Fiscal Júnior,R$ 3 mil - R$ 4 mil /mês
Analista De Engenharia Júnior,R$ 4 mil - R$ 4 mil /mês
Mecânico,R$ 3 mil - R$ 3 mil /mês
Técnico De Controle De Qualidade Júnior,R$ 3 mil - R$ 22 mil /mês
Analista,R$ 2 mil - R$ 9 mil /mês
Analista De Planejamento Sênior,R$ 5 mil - R$ 7 mil /mês
Jovem Aprendiz,R$ 666 - R$ 85 mil /mês
Gerente,R$ 10 mil - R$ 25 mil /mês
Advogado Pleno,R$ 5 mil - R$ 6 mil /mês
Especialista De Marketing,R$ 9 mil - R$ 11 mil /mês
Operador De Produção III,R$ 3 mil - R$ 3 mil /mês
Controlador De Operações,R$ 2 mil - R$ 4 mil /mês
Operador 2 de produção,R$ 2 mil - R$ 3 mil /mês
Faturista,R$ 2 mil - R$ 2 mil /mês
Jovem Aprendiz,R$ 900 - R$ 970 /mês
Analista Administrativo,R$ 2 mil - R$ 4 mil /mês
