Título,Salário
Estagiário Superior,R$ 2 mil - R$ 2 mil /mês
Estagiário,R$ 1 mil - R$ 2 mil /mês
Estágio Superior,R$ 2 mil - R$ 2 mil /mês
Analista Pleno,R$ 6 mil - R$ 8 mil /mês
Analista Júnior,R$ 3 mil - R$ 5 mil /mês
Engenheiro,R$ 5 mil - R$ 20 mil /mês
Analista,R$ 2 mil - R$ 8 mil /mês
Analista De Compras Pleno,R$ 6 mil - R$ 7 mil /mês
Estagiário De TI,R$ 1 mil - R$ 2 mil /mês
Operador de Área Recuperação/Utilidades,R$ 5 mil - R$ 6 mil /mês
Supervisor,R$ 7 mil - R$ 9 mil /mês
Auxiliar De Produção,R$ 2 mil - R$ 2 mil /mês
Coordenador,R$ 10 mil - R$ 13 mil /mês
Eletricista De Manutenção,R$ 4 mil - R$ 5 mil /mês
Agente De Mudança,R$ 9 mil - R$ 9 mil /mês
Supervisor/Coordenador,R$ 7 mil - R$ 9 mil /mês
Assistente Administrativo,R$ 2 mil - R$ 3 mil /mês
Técnico De Segurança Do Trabalho,R$ 5 mil - R$ 7 mil /mês
Gerente De Projetos,R$ 17 mil - R$ 20 mil /mês
Especialista,R$ 10 mil - R$ 15 mil /mês
Técnico Em Segurança Do Trabalho,R$ 5 mil - R$ 6 mil /mês
Estagiário Engenharia,R$ 2 mil - R$ 2 mil /mês
Mecânico De Manutenção,R$ 2 mil - R$ 5 mil /mês
Operador De Área,R$ 3 mil - R$ 6 mil /mês
Especialista De Produção,R$ 708 - R$ 11 mil /mês
Técnico Mecânico,R$ 5 mil - R$ 8 mil /mês
Inspetor Materiais,R$ 3 mil - R$ 3 mil /mês
Operador,R$ 3 mil - R$ 4 mil /mês
Eletromecânico,R$ 4 mil - R$ 4 mil /mês
Planejador,R$ 3 mil - R$ 3 mil /mês
Técnico Planejamento De Manutenção,R$ 6 mil - R$ 7 mil /mês
Engenheiro De Projetos,R$ 16 mil - R$ 18 mil /mês
Planejador De Manutenção,R$ 4 mil - R$ 5 mil /mês
Assistente Técnico Administrativo,R$ 5 mil - R$ 5 mil /mês
Analista Financeiro Júnior,R$ 4 mil - R$ 4 mil /mês
Analista De Produção,R$ 5 mil - R$ 6 mil /mês
Especialista De Produtos,R$ 8 mil - R$ 8 mil /mês
Operador De Cozimento,R$ 3 mil - R$ 3 mil /mês
Assistente Suprimentos,R$ 2 mil - R$ 2 mil /mês
Gerente De Engenharia De Projetos,R$ 10 mil - R$ 10 mil /mês
Analista Suprimentos Pleno,R$ 6 mil - R$ 6 mil /mês
ESTÁGIO,R$ 1 mil - R$ 2 mil /mês
Analista Sênior,R$ 11 mil - R$ 12 mil /mês
Administrative Assistant,R$ 2 mil - R$ 2 mil /mês
Analista Senior Revenue Management,R$ 6 mil - R$ 6 mil /mês
Auditor,R$ 5 mil - R$ 5 mil /mês
Production Operator,R$ 5 mil - R$ 5 mil /mês
Auxiliar De Logística,R$ 2 mil - R$ 2 mil /mês
Engenheiro Civil,R$ 1 mil - R$ 1 mil /mês
Analista De Controle De Gestão Júnior,R$ 5 mil - R$ 5 mil /mês
Coordenador Meio Ambiente,R$ 10 mil - R$ 11 mil /mês
ASSISTENTE FATURAMENTO,R$ 2 mil - R$ 3 mil /mês
Engenheiro Civil,R$ 24 mil - R$ 26 mil /mês
Supervisor/Coordenador Suprimentos,R$ 13 mil - R$ 15 mil /mês
IT Support Technician,R$ 4 mil - R$ 4 mil /mês
Pedreiro,R$ 2 mil - R$ 2 mil /mês
Analista De Processos De Produção,R$ 5 mil - R$ 5 mil /mês
Analista de atração e seleção Sr,R$ 7 mil - R$ 8 mil /mês
Técnico Químico,R$ 3 mil - R$ 4 mil /mês
