Título,Salário
Laboratorista II,R$ 45 mil - R$ 50 mil /ano
Analista Pleno,R$ 58 mil - R$ 91 mil /ano
Estagiário,R$ 19 mil - R$ 19 mil /ano
Analista Júnior,R$ 40 mil - R$ 62 mil /ano
Engenheiro De Processos Pleno,R$ 132 mil - R$ 152 mil /ano
Operador De Utilidades III,R$ 70 mil - R$ 86 mil /ano
Comprador Sênior,R$ 96 mil - R$ 120 mil /ano
Operador Utilidades,R$ 65 mil - R$ 84 mil /ano
Técnico Planejamento e Produção,R$ 40 mil - R$ 41 mil /ano
Analista Sênior,R$ 84 mil - R$ 144 mil /ano
Laboratorista II,R$ 4 mil - R$ 4 mil /mês
Analista Pleno,R$ 5 mil - R$ 8 mil /mês
Estagiário,R$ 2 mil - R$ 2 mil /mês
Analista Júnior,R$ 3 mil - R$ 5 mil /mês
Engenheiro De Processos Pleno,R$ 11 mil - R$ 13 mil /mês
Operador De Utilidades III,R$ 6 mil - R$ 7 mil /mês
Comprador Sênior,R$ 8 mil - R$ 10 mil /mês
Operador Utilidades,R$ 5 mil - R$ 7 mil /mês
Técnico Planejamento e Produção,R$ 3 mil - R$ 3 mil /mês
Analista Sênior,R$ 7 mil - R$ 12 mil /mês
Supervisor,R$ 7 mil - R$ 8 mil /mês
Operador Caldeira recuperação e Evaporação,R$ 9 mil - R$ 9 mil /mês
Analista Pleno,R$ 2 mil - R$ 5 mil /mês
Analista De Geoprocessamento Pleno,R$ 7 mil - R$ 7 mil /mês
Analista De Produção Pleno,R$ 6 mil - R$ 6 mil /mês
Especialista Em Automação,R$ 10 mil - R$ 10 mil /mês
Coordinator,R$ 14 mil - R$ 16 mil /mês
Especialista,R$ 12 mil - R$ 13 mil /mês
Analista RH Jr,R$ 3 mil - R$ 4 mil /mês
Gerente Industrial,R$ 19 mil - R$ 21 mil /mês
Analista De Facilities Júnior,R$ 3 mil - R$ 3 mil /mês
Técnico produção,R$ 5 mil - R$ 6 mil /mês
Coordenador De Rh,R$ 16 mil - R$ 18 mil /mês
Técnico Trainee,R$ 4 mil - R$ 4 mil /mês
Engenheiro De Processos Sênior,R$ 948 - R$ 1 mil /mês
Operador área secagem I,R$ 4 mil - R$ 4 mil /mês
Especialista De Laboratório,R$ 7 mil - R$ 7 mil /mês
Analista De Laboratório Pleno,R$ 6 mil - R$ 7 mil /mês
Operador,R$ 8 mil - R$ 9 mil /mês
Técnico De Segurança Do Trabalho Sênior,R$ 5 mil - R$ 5 mil /mês
Analista,R$ 4 mil - R$ 4 mil /mês
Analista Administrativo Júnior,R$ 3 mil - R$ 3 mil /mês
Engenheiro Pleno,R$ 5 mil - R$ 5 mil /mês
Assistente,R$ 3 mil - R$ 3 mil /mês
Jovem Aprendiz Operacional,R$ 585 - R$ 639 /mês
Analista De Manutenção Júnior,R$ 757 - R$ 819 /mês
Técnico De Manutenção,R$ 3 mil - R$ 4 mil /mês
Controlador de abastecimento,R$ 4 mil - R$ 5 mil /mês
Operador De Empilhadeira,R$ 2 mil - R$ 2 mil /mês
Legal Analyst,R$ 7 mil - R$ 7 mil /mês
Engenheiro,R$ 11 mil - R$ 11 mil /mês
Especialista De Automação,R$ 10 mil - R$ 10 mil /mês
Especialista Em Manutenção,R$ 10 mil - R$ 11 mil /mês
Técnico Em Eletroeletronica,R$ 3 mil - R$ 3 mil /mês
Forest Engineer,R$ 7 mil - R$ 7 mil /mês
Operador De Máquinas,R$ 2 mil - R$ 2 mil /mês
Conferente De Logística,R$ 2 mil - R$ 3 mil /mês
Supervisor administrativo florestal,R$ 11 mil - R$ 12 mil /mês
Analista,R$ 7 mil - R$ 8 mil /mês
Técnico Ambiental,R$ 3 mil - R$ 3 mil /mês
Gerente Jurídico,R$ 29 mil - R$ 31 mil /mês
Operador De Área I,R$ 5 mil - R$ 5 mil /mês
Analista De RH Pleno,R$ 5 mil - R$ 6 mil /mês
Especialista Em Meio Ambiente,R$ 10 mil - R$ 10 mil /mês
Analista De RH Sênior,R$ 5 mil - R$ 6 mil /mês
Personal Trainer,R$ 2 mil - R$ 2 mil /mês
Analista de Segurança de Processos,R$ 7 mil - R$ 8 mil /mês
Analista De Qualidade Pleno,R$ 6 mil - R$ 6 mil /mês
Analista Financeiro Sr,R$ 8 mil - R$ 8 mil /mês
Consultor SAP EWM,R$ 24 mil - R$ 26 mil /mês
Analista De Comunicação,R$ 3 mil - R$ 4 mil /mês
Líder De Logística,R$ 4 mil - R$ 5 mil /mês
Analista De Planejamento Pleno,R$ 6 mil - R$ 7 mil /mês
Técnico Em Mecânica,R$ 3 mil - R$ 4 mil /mês
Analista de Relacionamento com comunidades,R$ 5 mil - R$ 5 mil /mês
Eletricista,R$ 6 mil - R$ 6 mil /mês
Computer Sales Associate,R$ 9 mil - R$ 9 mil /mês
Operador Assistente De Recuperação,R$ 2 mil - R$ 3 mil /mês
Coordenador De Administração De Facilities,R$ 12 mil - R$ 13 mil /mês
operador turbo gerador,R$ 10 mil - R$ 10 mil /mês
Analista Fiscal,R$ 3 mil - R$ 3 mil /mês
Coordenador De HSE,R$ 21 mil - R$ 23 mil /mês
Operador de Área Recuperação/Utilidades,R$ 8 mil - R$ 8 mil /mês
Comprador Júnior,R$ 3 mil - R$ 4 mil /mês
Encarregado Operacional,R$ 2 mil - R$ 2 mil /mês
Estagiário Financeiro,R$ 2 mil - R$ 2 mil /mês
Assistente Administrativo,R$ 25 mil - R$ 27 mil /mês
operador 1,R$ 3 mil - R$ 4 mil /mês
Operador De Máquinas II,R$ 3 mil - R$ 3 mil /mês
Operador De Trator,R$ 2 mil - R$ 3 mil /mês
Analista De Logística Júnior,R$ 4 mil - R$ 4 mil /mês
Analista De Prospecció n,R$ 10 mil - R$ 11 mil /mês
Especialista De Compliance,R$ 16 mil - R$ 17 mil /mês
Op área secagem 2,R$ 5 mil - R$ 6 mil /mês
Supervisor Logistica,R$ 8 mil - R$ 9 mil /mês
Técnico Mecânico Industrial,R$ 5 mil - R$ 5 mil /mês
Assistente Geral,R$ 1 mil - R$ 1 mil /mês
Operador De Área,R$ 39 mil - R$ 42 mil /mês
Analista De Logística Pleno,R$ 5 mil - R$ 6 mil /mês
Analista De Meio Ambiente Sênior,R$ 6 mil - R$ 7 mil /mês
