Título,Link,Localização,Empresa,Data,DataExtracao
Analista Recursos Humanos III (Relações Sindicais Trabalhista)| Diretoria RH - Três Lagoas/MS,"https://www.glassdoor.com.br/job-listing/analista-recursos-humanos-iii-rela%C3%A7%C3%B5es-sindicais-trabalhista-diretoria-rh-tr%C3%AAs-lagoas-ms-eldorado-brasil-JV_IC2486261_KO0,88_KE89,104.htm?jl=1009809496569","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-08-29 18:44:15.561796,2025-09-29 18:44:15.561796
Ajudante Viveiro | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/ajudante-viveiro-diretoria-florestal-eldorado-brasil-JV_IC2464176_KO0,36_KE37,52.htm?jl=1009409505256",Andradina,Eldorado,2025-08-29 18:44:15.627778,2025-09-29 18:44:15.627778
Analista Logística Florestal II | Diretoria Florestal | Três Lagoas/MS,"https://www.glassdoor.com.br/job-listing/analista-log%C3%ADstica-florestal-ii-diretoria-florestal-tr%C3%AAs-lagoas-ms-eldorado-brasil-JV_IC2486261_KO0,66_KE67,82.htm?jl=1009869069400","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-08 18:44:15.703482,2025-09-29 18:44:15.703482
Líder Op. Florestais | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/l%C3%ADder-op-florestais-diretoria-florestal-eldorado-brasil-JV_IC4146649_KO0,39_KE40,55.htm?jl=1009888867130",Bataguassu,Eldorado,2025-09-27 18:44:15.779690,2025-09-29 18:44:15.779690
Ajudante Florestal | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/ajudante-florestal-diretoria-florestal-eldorado-brasil-JV_IC2496001_KO0,38_KE39,54.htm?jl=1009320420952",Inocência,Eldorado,2025-08-29 18:44:15.838909,2025-09-29 18:44:15.838909
Analista Sistema Gestão Integrado I | Diretoria RH,"https://www.glassdoor.com.br/job-listing/analista-sistema-gest%C3%A3o-integrado-i-diretoria-rh-eldorado-brasil-JV_IC2486261_KO0,48_KE49,64.htm?jl=1009872392820","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-10 18:44:15.894903,2025-09-29 18:44:15.894903
Ajudante Pesquisa Florestal | Diretoria Florestal - Andradina/SP,"https://www.glassdoor.com.br/job-listing/ajudante-pesquisa-florestal-diretoria-florestal-andradina-sp-eldorado-brasil-JV_IC2464176_KO0,60_KE61,76.htm?jl=1009880542356",Andradina,Eldorado,2025-09-18 18:44:15.954487,2025-09-29 18:44:15.954487
Líder Op. Florestais | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/l%C3%ADder-op-florestais-diretoria-florestal-eldorado-brasil-JV_IC2486960_KO0,39_KE40,55.htm?jl=1009890255597","Água Clara, Mato Grosso do Sul",Eldorado,2025-09-28 18:44:16.045110,2025-09-29 18:44:16.045110
Bolsista Programa Rhae CNPq – Tecnologia da Madeira | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/bolsista-programa-rhae-cnpq-tecnologia-da-madeira-diretoria-florestal-eldorado-brasil-JV_IC2486261_KO0,69_KE70,85.htm?jl=1009886479603","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-25 18:44:16.138600,2025-09-29 18:44:16.138600
Ajudante Florestal | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/ajudante-florestal-diretoria-florestal-eldorado-brasil-JV_IC2486960_KO0,38_KE39,54.htm?jl=1008995438552","Água Clara, Mato Grosso do Sul",Eldorado,2025-08-29 18:44:16.286575,2025-09-29 18:44:16.286575
Operador/ Operadora Trator | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/operador-operadora-trator-diretoria-florestal-eldorado-brasil-JV_IC2496001_KO0,45_KE46,61.htm?jl=1009320333346",Inocência,Eldorado,2025-08-29 18:44:16.394891,2025-09-29 18:44:16.394891
Técnico/ Técnica Logística Florestal III | Diretoria Florestal | Três Lagoas/MS,"https://www.glassdoor.com.br/job-listing/t%C3%A9cnico-t%C3%A9cnica-log%C3%ADstica-florestal-iii-diretoria-florestal-tr%C3%AAs-lagoas-ms-eldorado-brasil-JV_IC2486261_KO0,74_KE75,90.htm?jl=1009869079051","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-08 18:44:16.461609,2025-09-29 18:44:16.461609
Enfermeiro(a) do Trabalho | Diretoria RH,"https://www.glassdoor.com.br/job-listing/enfermeiro-a-do-trabalho-diretoria-rh-eldorado-brasil-JV_IC2486261_KO0,37_KE38,53.htm?jl=1009874531533","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-12 18:44:16.533332,2025-09-29 18:44:16.533332
Operador/ Operadora Grua Transporte | Diretoria Florestal | Três Lagoas/MS,"https://www.glassdoor.com.br/job-listing/operador-operadora-grua-transporte-diretoria-florestal-tr%C3%AAs-lagoas-ms-eldorado-brasil-JV_IC2486261_KO0,69_KE70,85.htm?jl=1009883742314","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-22 18:44:16.600270,2025-09-29 18:44:16.600270
Especialista Nutrição e Manejo | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/especialista-nutri%C3%A7%C3%A3o-e-manejo-diretoria-florestal-eldorado-brasil-JV_IC2464176_KO0,50_KE51,66.htm?jl=1009831650861",Andradina,Eldorado,2025-08-29 18:44:16.697843,2025-09-29 18:44:16.697843
Motorista Tritrem | Diretoria Transportadora,"https://www.glassdoor.com.br/job-listing/motorista-tritrem-diretoria-transportadora-eldorado-brasil-JV_IC2486261_KO0,42_KE43,58.htm?jl=1009873005973","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-11 18:44:16.756248,2025-09-29 18:44:16.756248
Mecânico/ Mecânica Manutenção Silvicultura | Diretoria Florestal | Inocência/MS,"https://www.glassdoor.com.br/job-listing/mec%C3%A2nico-mec%C3%A2nica-manuten%C3%A7%C3%A3o-silvicultura-diretoria-florestal-inoc%C3%AAncia-ms-eldorado-brasil-JV_IC2496001_KO0,74_KE75,90.htm?jl=1009845536526",Inocência,Eldorado,2025-08-29 18:44:16.852582,2025-09-29 18:44:16.852582
Mecânico/ Mecânica II - Colheita | Diretoria Florestal,"https://www.glassdoor.com.br/job-listing/mec%C3%A2nico-mec%C3%A2nica-ii-colheita-diretoria-florestal-eldorado-brasil-JV_IC2496001_KO0,49_KE50,65.htm?jl=1009282421698",Inocência,Eldorado,2025-08-29 18:44:16.914494,2025-09-29 18:44:16.914494
Lavador/ Lavadora | Diretoria Florestal | Inocência/MS,"https://www.glassdoor.com.br/job-listing/lavador-lavadora-diretoria-florestal-inoc%C3%AAncia-ms-eldorado-brasil-JV_IC2496001_KO0,49_KE50,65.htm?jl=1009845536656",Inocência,Eldorado,2025-08-29 18:44:16.981854,2025-09-29 18:44:16.981854
Borracheiro/ Borracheira | Diretoria Florestal | Inocência/MS,"https://www.glassdoor.com.br/job-listing/borracheiro-borracheira-diretoria-florestal-inoc%C3%AAncia-ms-eldorado-brasil-JV_IC2496001_KO0,56_KE57,72.htm?jl=1009845536705",Inocência,Eldorado,2025-08-29 18:44:17.035407,2025-09-29 18:44:17.035407
Técnico/Técnica Refrigeração I | Diretoria Industrial - Três Lagoas/MS,"https://www.glassdoor.com.br/job-listing/t%C3%A9cnico-t%C3%A9cnica-refrigera%C3%A7%C3%A3o-i-diretoria-industrial-tr%C3%AAs-lagoas-ms-eldorado-brasil-JV_IC2486261_KO0,66_KE67,82.htm?jl=1009870895312","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-09 18:44:17.097174,2025-09-29 18:44:17.097174
Mecânico/ Mecânica I Carregamento | Diretoria Florestal | Três Lagoas/MS,"https://www.glassdoor.com.br/job-listing/mec%C3%A2nico-mec%C3%A2nica-i-carregamento-diretoria-florestal-tr%C3%AAs-lagoas-ms-eldorado-brasil-JV_IC2486261_KO0,67_KE68,83.htm?jl=1009885333824","Três Lagoas, Mato Grosso do Sul",Eldorado,2025-09-24 18:44:17.173840,2025-09-29 18:44:17.173840
