Título,Link,Localização,Empresa,Data,DataExtracao
Ajudante Geral - Planta de Compostagem,https://ldcelulose.gupy.io/jobs/9673048?jobBoardSource=gupy_public_page,Indianópolis - MG,LD Celulose,2025-09-01 00:00:00,2025-09-29 18:37:10.613348
Analista de Laboratório Sr,https://ldcelulose.gupy.io/jobs/9883856?jobBoardSource=gupy_public_page,Indianópolis - MG,LD Celulose,2025-09-21 00:00:00,2025-09-29 18:37:32.838678
Banco de Talentos,https://ldcelulose.gupy.io/jobs/209387?jobBoardSource=gupy_public_page,Indianópolis - MG e Remoto,LD Celulose,2020-04-30 00:00:00,2025-09-29 18:37:54.281164
Banco de Talentos (Pessoas com Deficiência),https://ldcelulose.gupy.io/jobs/824061?jobBoardSource=gupy_public_page,Indianópolis - MG e Remoto,LD Celulose,2021-04-22 00:00:00,2025-09-29 18:38:15.060087
Enfermeira ou Enfermeiro do Trabalho,https://ldcelulose.gupy.io/jobs/9864077?jobBoardSource=gupy_public_page,Indianópolis - MG,LD Celulose,2025-09-21 00:00:00,2025-09-29 18:38:35.904143
Operadora ou Operador de Implementos - Pátio de Madeiras,https://ldcelulose.gupy.io/jobs/9827428?jobBoardSource=gupy_public_page,Indianópolis - MG,LD Celulose,2025-09-16 00:00:00,2025-09-29 18:38:57.989365
TÉCNICA OU TÉCNICO DE PLANEJAMENTO FLORESTAL,https://ldcelulose.gupy.io/jobs/9911828?jobBoardSource=gupy_public_page,Prata - MG,LD Celulose,2025-09-21 00:00:00,2025-09-29 18:39:23.659295
Tratorista - Compostagem,https://ldcelulose.gupy.io/jobs/9763828?jobBoardSource=gupy_public_page,Indianópolis - MG,LD Celulose,2025-09-01 00:00:00,2025-09-29 18:39:43.187314
Ajudante Florestal | Diretoria Florestal,https://vagaseldoradobrasil.gupy.io/jobs/5995258?jobBoardSource=gupy_public_page,Água Clara - MS,Eldorado,2023-11-23 00:00:00,2025-09-29 18:37:30.304092
Ajudante Florestal | Diretoria Florestal,https://vagaseldoradobrasil.gupy.io/jobs/7272191?jobBoardSource=gupy_public_page,Inocência - MS,Eldorado,2024-06-12 00:00:00,2025-09-29 18:37:50.762135
Ajudante Pesquisa Florestal | Diretoria Florestal - Andradina/SP,https://vagaseldoradobrasil.gupy.io/jobs/9804171?jobBoardSource=gupy_public_page,Andradina - SP,Eldorado,2025-09-18 00:00:00,2025-09-29 18:38:10.621936
Ajudante Viveiro | Diretoria Florestal,https://vagaseldoradobrasil.gupy.io/jobs/6945795?jobBoardSource=gupy_public_page,Andradina - SP,Eldorado,2024-08-16 00:00:00,2025-09-29 18:38:30.947956
Analista Logística Florestal II | Diretoria Florestal | Três Lagoas/MS,https://vagaseldoradobrasil.gupy.io/jobs/9539390?jobBoardSource=gupy_public_page,Três Lagoas - MS,Eldorado,2025-09-08 00:00:00,2025-09-29 18:38:50.919652
Analista Recursos Humanos III (Relações Sindicais Trabalhista)| Diretoria RH - Três Lagoas/MS,https://vagaseldoradobrasil.gupy.io/jobs/9482809?jobBoardSource=gupy_public_page,Três Lagoas - MS,Eldorado,2025-07-11 00:00:00,2025-09-29 18:39:10.580893
Analista Sistema Gestão Integrado I | Diretoria RH,https://vagaseldoradobrasil.gupy.io/jobs/9773046?jobBoardSource=gupy_public_page,Três Lagoas - MS,Eldorado,2025-09-09 00:00:00,2025-09-29 18:39:31.096609
Auxiliar Serviços Gerais/Limpeza Banco de Talentos I Diretoria Comercial e Logística - Santos,https://vagaseldoradobrasil.gupy.io/jobs/9646734?jobBoardSource=gupy_public_page,Santos - SP,Eldorado,2025-08-07 00:00:00,2025-09-29 18:39:50.459261
Banco de Talentos | Pessoas 50+,https://vagaseldoradobrasil.gupy.io/jobs/6050358?jobBoardSource=gupy_public_page,Três Lagoas - MS,Eldorado,2023-11-24 00:00:00,2025-09-29 18:40:07.365762
Banco de Talentos | Pessoas com Deficiência (PCD),https://vagaseldoradobrasil.gupy.io/jobs/6050330?jobBoardSource=gupy_public_page,Três Lagoas - MS,Eldorado,2023-11-24 00:00:00,2025-09-29 18:40:22.685685
