Título,Link,Localização,Empresa,Data,DataExtracao
Analista Manutenção Automotiva Pleno,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Lencois-Paulista/Analista-Manuteno-Automotiva-Pleno_R186567?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Lencois Paulista,Bracell,2025-09-29 18:31:37.917449,2025-09-29 18:31:37.917449
Especialista Suprimentos,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Lencois-Paulista/Especialista-Suprimentos_R188908?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Lencois Paulista,Bracell,2025-09-29 18:31:38.083148,2025-09-29 18:31:38.083148
Coordenador(a) de Suprimentos,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Lencois-Paulista/Coordenador-a--de-Suprimentos_R188901?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Lencois Paulista,Bracell,2025-09-29 18:31:38.184292,2025-09-29 18:31:38.184292
Auxiliar Topografia,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Bataguassu/Auxiliar-Topografia_R187382?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Bataguassu,Bracell,2025-09-29 18:31:38.345406,2025-09-29 18:31:38.345406
Auxiliar de Topografia,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Bataguassu/Auxiliar-de-Topografia_R187381-1?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Bataguassu,Bracell,2025-09-29 18:31:38.465733,2025-09-29 18:31:38.465733
Técnico(a) Planejamento Controle Florestal Pleno,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Bataguassu/Tcnico-a--Planejamento-Controle-Florestal-Pleno_R186616?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Bataguassu,Bracell,2025-09-29 18:31:38.588360,2025-09-29 18:31:38.588360
AN INFORMACOES FLORESTAIS II,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/gua-Clara/AN-INFORMACOES-FLORESTAIS-II_R182292?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Água Clara,Bracell,2025-09-26 18:31:38.739946,2025-09-29 18:31:38.739946
Comprador(a),https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Lencois-Paulista/Comprador-a-_R188543?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Lencois Paulista,Bracell,2025-09-25 18:31:38.895204,2025-09-29 18:31:38.895204
Assistente Administrativo - Vaga Afirmativa: Pessoas com Deficiência,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Lencois-Paulista/Assistente-Administrativo---Vaga-Afirmativa--Pessoas-com-Deficincia_R186746?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Lencois Paulista,Bracell,2025-09-24 18:31:39.013211,2025-09-29 18:31:39.013211
Analista de Operações RH Junior,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Campinas/Assistente-Operaes-de-RH_R186892?locations=6cf1a28918d6100120e37912a8240000&locations=d31514a1ea56014a3fa63e5f80011b09&locations=cb5a15ffee110150e0f534807e0198fc&locations=44e95fe9c00d1001480082ce4d030000&locations=005eaaf78c5e1001c65eac873eec0000&locations=a4ac62f3b2091000ea4b488eaa720000&locations=5f7a90b6417f100090cdfcd1528a0000&locations=6cf1a28918d6100120e48ab10ee50000&locations=d31514a1ea5601eb075ed87280014409&locations=5f7a90b6417f1000910a512330060000&locations=cb5a15ffee11019092b6698380013501&locationCountry=1a29bb1357b240ab99a2fa755cc87c0e,Campinas,Bracell,2025-09-22 18:31:39.092078,2025-09-29 18:31:39.092078
