Título,Link,Localização,Empresa,Data,DataExtracao
Practicante Atracción de Talento - Recursos Humanos,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16534?c=cmpc,"Santiago, Región Metropolitana, Chile",CMPC,2025-09-29 00:00:00,2025-09-29 18:30:43.070408
Nombre del cargo,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16493?c=cmpc,"Santiago, Chile",CMPC,2025-09-29 00:00:00,2025-09-29 18:30:43.119751
Nombre del cargo,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16170?c=cmpc,"Irapuato, Guanajuato, México",CMPC,2025-09-29 00:00:00,2025-09-29 18:30:43.174612
Nombre del cargo,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16303?c=cmpc,"Osorno, REGIÓN DE LOS LAGOS, Chile",CMPC,2025-09-26 00:00:00,2025-09-29 18:30:43.224390
Analista de Contabilidad,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16530?c=cmpc,"Malvinas Argentinas, Argentina",CMPC,2025-09-25 00:00:00,2025-09-29 18:30:43.291433
Supervisor/a de Mantenimiento Mecánico - Perú,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16512?c=cmpc,"Lima, Los Olivos, Peru",CMPC,2025-09-24 00:00:00,2025-09-29 18:30:43.341387
INGENIERO CIBERSEGURIDAD TI,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16284?c=cmpc,"Santiago, REGION METROPOLITANA, Chile",CMPC,2025-09-24 00:00:00,2025-09-29 18:30:43.395628
Ingeniero/a Planificación y Gestión Calidad,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16483?c=cmpc,"Nacimiento, Biobío, Chile",CMPC,2025-09-23 00:00:00,2025-09-29 18:30:43.439817
Ingeniero/a de Caminos,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16466?c=cmpc,Chile,CMPC,2025-09-23 00:00:00,2025-09-29 18:30:43.491556
RESPONSABLE COMERCIO EXTERIOR,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16428?c=cmpc,México,CMPC,2025-09-23 00:00:00,2025-09-29 18:30:43.612001
Planificador/a Mecánico - Yerbas Buenas,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16417?c=cmpc,"Yerbas Buenas, REGION DEL MAULE, Chile",CMPC,2025-09-22 00:00:00,2025-09-29 18:30:43.668895
Analista de Planif. de Producción,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16504?c=cmpc,Argentina,CMPC,2025-09-19 00:00:00,2025-09-29 18:30:43.795615
Líder de Proyectos Ingeniería,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16468?c=cmpc,Chile,CMPC,2025-09-16 00:00:00,2025-09-29 18:30:43.862715
Jefe Áreas Caminos Norte,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16467?c=cmpc,Chile,CMPC,2025-09-16 00:00:00,2025-09-29 18:30:43.912868
Eléctrico/a Día - Puente Alto,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16449?c=cmpc,"SANTIAGO, SANTIAGO, Chile",CMPC,2025-09-15 00:00:00,2025-09-29 18:30:43.966782
Supervisor/a de Mantenimiento Mecánico - México,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16135?c=cmpc,México,CMPC,2025-09-12 00:00:00,2025-09-29 18:30:44.063281
Jefe de Logística y Bodegas,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16445?c=cmpc,"Chillán, REGION DEL BIOBIO, Chile",CMPC,2025-09-11 00:00:00,2025-09-29 18:30:44.116334
Cargador/a Impresora - Osorno,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16425?c=cmpc,"Osorno, REGIÓN DE LOS LAGOS, Chile",CMPC,2025-09-11 00:00:00,2025-09-29 18:30:44.172255
Feria Empresarial CESA,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16450?c=cmpc,Colômbia,CMPC,2025-09-10 00:00:00,2025-09-29 18:30:44.222758
FERIA UNISABANA 2025,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16405?c=cmpc,Chile,CMPC,2025-09-04 00:00:00,2025-09-29 18:30:44.277280
Analista de Costos,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16397?c=cmpc,Equador,CMPC,2025-09-03 00:00:00,2025-09-29 18:30:44.325050
Analista de Gestión,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16396?c=cmpc,Equador,CMPC,2025-09-03 00:00:00,2025-09-29 18:30:44.379792
Auxiliar Eventual,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16371?c=cmpc,"Til Til, REGIÓN METROPOLITANA, Chile",CMPC,2025-09-02 00:00:00,2025-09-29 18:30:44.426057
Nombre del cargo,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16288?c=cmpc,"Temuco, Chile",CMPC,2025-09-02 00:00:00,2025-09-29 18:30:44.486785
Operador Máquina Flexográfica,https://cmpc.csod.com/ux/ats/careersite/4/home/requisition/16286?c=cmpc,"Quilicura, REGION METROPOLITANA, Chile",CMPC,2025-09-01 00:00:00,2025-09-29 18:30:44.623778
